Metropolitan/FMR Area Name,Cost of Living Index
"Austin, TX",106.6
"Boston, MA",132.6
"Charlotte, NC",97.9
"Chicago, IL",100.1
"Columbus, OH",93.9
"Denver, CO",112.1
"El Paso, TX",88.6
"Fort Worth, TX",100.2
"Houston, TX",95.8
"Indianapolis, IN",90.2
"Jacksonville, FL",99.0
"Nashville, TN",100.1
"New York, NY",128.0
"Oklahoma City, OK",87.3
"Philadelphia, PA",103.4
"Phoenix, AZ",104.3
"Portland, OR",116.5
"San Antonio, TX",92.7
"San Diego, CA",136.2
"San Francisco, CA",178.6
"San Jose, CA",173.5
"Seattle, WA",124.6
"Washington, DC",120.1
"Los Angeles, CA",140.6
"Dallas, TX",98.5
